"country","gdp_per_cap_2019","gdp_per_cap_2019_monthly"
"Afghanistan",507.103431871987,42.2586193226656
"Argentina",9912.28180859803,826.023484049836
"Bangladesh",1855.73982408046,154.644985340038
"Brazil",8717.18627810819,726.432189842349
"China",10216.6303341031,851.385861175258
"Democratic Republic of the Congo",580.716867207745,48.3930722673121
"Colombia",6428.67620562768,535.72301713564
"Germany",46445.2491012508,3870.43742510423
"Algeria",3973.96407191565,331.163672659637
"Egypt",3019.20582861756,251.60048571813
"Ethiopia",855.760862280838,71.3134051900698
"France",40493.9285720456,3374.49404767047
"United Kingdom",42330.117537005,3527.50979475042
"Indonesia",4135.56926281554,344.630771901295
"India",2099.59904810855,174.966587342379
"Iran (Islamic Republic of)",7598.59240112799,633.216033427333
"Iraq",5955.10901036816,496.259084197347
"Italy",33228.2366803707,2769.01972336422
"Japan",40246.8801284164,3353.90667736803
"Kenya",1816.5469164389,151.378909703242
"Morocco",3204.09500313298,267.007916927748
"Mexico",9946.03382879198,828.836152399332
"Mozambique",503.570772675202,41.9642310562668
"Nigeria",2229.85869624463,185.821558020386
"Pakistan",1284.70204090039,107.058503408366
"Philippines",3485.08421835861,290.423684863217
"Russian Federation",11584.9953826104,965.4162818842
"Sudan",441.505603374484,36.7921336145403
"Thailand",7806.74221105532,650.561850921277
"Turkey",9126.56134585014,760.546778820845
"United Republic of Tanzania",1122.12181047515,93.5101508729292
"Uganda",794.341077917102,66.1950898264252
"United States of America",65297.517508274,5441.45979235617
"Viet Nam",2715.27603640721,226.273003033934
"Yemen",774.334489816721,64.5278741513934
"South Africa",6001.40081394888,500.11673449574
